id,number_of_reviews,review_scores_rating,review_scores_location
300379.00,217.00,4.58,4.54
40298.00,47.00,4.89,4.74
304658.00,198.00,4.77,4.85
307004.00,208.00,4.98,4.97
40803.00,119.00,4.90,4.93
312200.00,531.00,4.96,4.75
548097.00,12.00,5.00,5.00
551138.00,98.00,4.43,4.59
317750.00,220.00,4.81,4.97
46473.00,188.00,4.84,4.93
554205.00,305.00,4.95,4.83
46477.00,195.00,4.61,4.79
555648.00,27.00,4.89,4.93
53590.00,2.00,4.00,4.50
555708.00,186.00,4.90,4.92
318028.00,76.00,4.89,4.81
54047.00,92.00,4.62,4.95
320684.00,52.00,4.94,4.77
323819.00,41.00,4.98,4.88
557699.00,110.00,4.86,4.95
557880.00,11.00,4.80,4.90
55000.00,56.00,4.65,4.63
565485.00,496.00,4.79,4.81
570918.00,196.00,4.71,4.82
578041.00,8.00,5.00,5.00
324798.00,15.00,4.67,4.87
325502.00,75.00,4.90,4.99
55990.00,54.00,4.94,4.93
330691.00,108.00,4.88,4.84
333624.00,152.00,4.96,4.92
578348.00,190.00,4.68,4.31
56024.00,35.00,4.94,5.00
578790.00,162.00,4.75,4.92
57640.00,122.00,4.91,4.93
342139.00,67.00,4.23,4.78
57642.00,109.00,4.94,5.00
342153.00,89.00,4.22,4.70
342158.00,52.00,4.41,4.77
582964.00,21.00,4.62,4.86
59674.00,176.00,4.66,4.94
583044.00,31.00,4.90,4.87
342159.00,31.00,4.30,4.70
66800.00,267.00,4.73,4.95
583095.00,34.00,4.79,4.91
583302.00,47.00,4.96,4.96
583315.00,5.00,5.00,5.00
804433.00,286.00,4.47,4.78
808786.00,236.00,4.84,4.94
810826.00,42.00,4.71,4.73
66919.00,80.00,4.70,4.92
823773.00,108.00,4.84,4.84
585499.00,123.00,4.59,4.91
587542.00,30.00,4.79,4.61
67431.00,35.00,4.85,4.80
591051.00,179.00,4.77,4.96
591106.00,325.00,4.58,4.77
591538.00,34.00,4.67,4.69
596595.00,81.00,4.37,4.52
598062.00,109.00,4.90,4.89
828703.00,2.00,5.00,5.00
836884.00,65.00,4.75,4.89
68045.00,376.00,4.64,4.84
841416.00,286.00,4.77,4.85
846717.00,122.00,4.94,4.92
600944.00,333.00,4.93,4.84
855921.00,50.00,4.86,4.94
69794.00,49.00,4.95,4.74
860378.00,270.00,4.80,4.92
606715.00,122.00,4.94,4.93
71385.00,77.00,4.80,4.88
861768.00,81.00,4.43,4.91
74862.00,224.00,4.70,4.91
861878.00,14.00,4.71,4.86
609723.00,175.00,4.91,4.80
76320.00,102.00,4.88,4.94
622562.00,56.00,4.95,4.94
863978.00,11.00,4.90,5.00
79790.00,68.00,4.88,4.71
864241.00,195.00,4.81,4.86
866802.00,81.00,4.64,4.73
626156.00,57.00,4.88,4.96
629945.00,308.00,4.89,4.92
81566.00,245.00,4.66,4.85
631767.00,44.00,4.93,4.81
631771.00,74.00,4.79,4.74
867486.00,24.00,4.75,4.83
631783.00,20.00,4.85,4.65
81582.00,126.00,4.96,4.93
633285.00,89.00,4.89,4.87
867626.00,374.00,4.77,4.75
83221.00,287.00,4.93,4.86
867745.00,115.00,4.71,4.81
633307.00,446.00,4.79,4.83
633314.00,95.00,4.78,4.89
869077.00,107.00,4.80,4.77
638917.00,34.00,4.45,4.71
84405.00,28.00,4.50,4.89
869156.00,162.00,4.79,4.89
85701.00,1.00,5.00,5.00
869790.00,130.00,4.60,4.75
873586.00,49.00,4.80,4.66
