id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,geometry
49708094,Kihei-Makena,Maui,20.71177,-156.44242,POINT (-156.44242 20.71177)
49708095,Kihei-Makena,Maui,20.71174,-156.44215,POINT (-156.44215 20.71174)
49708096,Kihei-Makena,Maui,20.7154,-156.44417,POINT (-156.44417 20.7154)
49708098,Kihei-Makena,Maui,20.71014,-156.44339,POINT (-156.44339 20.71014)
49708100,Kihei-Makena,Maui,20.70951,-156.44441,POINT (-156.44441 20.70951)
49708101,Kihei-Makena,Maui,20.70986,-156.44312,POINT (-156.44312 20.70986)
49708106,Kihei-Makena,Maui,20.74858,-156.45661,POINT (-156.45661 20.74858)
49627718,South Kohala,Hawaii,19.92383,-155.87731,POINT (-155.87731 19.92383)
49629240,Ewa,Honolulu,21.33704,-158.11067,POINT (-158.11067 21.33704)
49630237,Lahaina,Maui,20.87733,-156.6759,POINT (-156.6759 20.87733)
49708111,Kihei-Makena,Maui,20.70982,-156.4439,POINT (-156.4439 20.70982)
49708114,Kihei-Makena,Maui,20.76385,-156.4579,POINT (-156.4579 20.76385)
49630853,Primary Urban Center,Honolulu,21.28408,-157.83593,POINT (-157.83593 21.28408)
49708119,Kihei-Makena,Maui,20.71529,-156.44433,POINT (-156.44433 20.71529)
49572602,East Honolulu,Honolulu,21.27159,-157.77406,POINT (-157.77406 21.27159)
49632028,Ewa,Honolulu,21.32822,-158.12251,POINT (-158.12251 21.32822)
49572720,Primary Urban Center,Honolulu,21.31936,-157.86862,POINT (-157.86862 21.31936)
49572799,Kihei-Makena,Maui,20.72681,-156.44549,POINT (-156.44549 20.72681)
49572953,North Kona,Hawaii,19.61841,-155.9832,POINT (-155.9832 19.61841)
49575200,Lahaina,Maui,20.96871,-156.68024,POINT (-156.68024 20.96871)
49708122,Kihei-Makena,Maui,20.71519,-156.4456,POINT (-156.4456 20.71519)
49632232,North Kona,Hawaii,19.72225,-156.01915,POINT (-156.01915 19.72225)
49708125,Kihei-Makena,Maui,20.70771,-156.44405,POINT (-156.44405 20.70771)
49708129,Kihei-Makena,Maui,20.70779,-156.44426,POINT (-156.44426 20.70779)
49708132,Kihei-Makena,Maui,20.75831,-156.45741,POINT (-156.45741 20.75831)
49708136,Kihei-Makena,Maui,20.70933,-156.44432,POINT (-156.44432 20.70933)
49709369,Kapaa-Wailua,Kauai,22.05389,-159.32624,POINT (-159.32624 22.05389)
49575793,South Kohala,Hawaii,19.92718,-155.85816,POINT (-155.85816 19.92718)
49578964,Koloa-Poipu,Kauai,21.87681,-159.45932,POINT (-159.45932 21.87681)
49578973,Lahaina,Maui,20.99915,-156.66213,POINT (-156.66213 20.99915)
49579032,Koloa-Poipu,Kauai,21.87807,-159.46083,POINT (-159.46083 21.87807)
49632251,Ewa,Honolulu,21.32836,-158.12097,POINT (-158.12097 21.32836)
49632736,Primary Urban Center,Honolulu,21.28586,-157.83288,POINT (-157.83288 21.28586)
49632995,Primary Urban Center,Honolulu,21.28714,-157.83282,POINT (-157.83282 21.28714)
49633377,Primary Urban Center,Honolulu,21.28751,-157.83487,POINT (-157.83487 21.28751)
49634718,Koloa-Poipu,Kauai,21.87275,-159.44771,POINT (-159.44771 21.87275)
49579083,Kihei-Makena,Maui,20.69113,-156.43667,POINT (-156.43667 20.69113)
49589298,Lahaina,Maui,20.97391,-156.67752,POINT (-156.67752 20.97391)
49589459,Kihei-Makena,Maui,20.70913,-156.44233,POINT (-156.44233 20.70913)
49589474,Kihei-Makena,Maui,20.78583,-156.46833,POINT (-156.46833 20.78583)
49711184,North Kona,Hawaii,19.55824,-155.9608,POINT (-155.9608 19.55824)
49711371,North Kona,Hawaii,19.61869,-155.98484,POINT (-155.98484 19.61869)
49711381,North Kona,Hawaii,19.62083,-155.9864,POINT (-155.9864 19.62083)
49635657,Koolauloa,Honolulu,21.70405,-157.99673,POINT (-157.99673 21.70405)
49711871,Kapaa-Wailua,Kauai,22.07364,-159.31765,POINT (-159.31765 22.07364)
49589802,Waianae,Honolulu,21.38945,-158.15423,POINT (-158.15423 21.38945)
