id,neighbourhood_cleansed,latitude,longitude
81566.00,North Shore Oahu,21.59,-158.11
631767.00,Paia-Haiku,20.90,-156.30
631771.00,Koolaupoko,21.40,-157.74
867486.00,Koolauloa,21.64,-157.92
631783.00,Paia-Haiku,20.90,-156.30
81582.00,Puna,19.43,-155.22
633285.00,Puna,19.35,-154.99
867626.00,Puna,19.40,-154.93
83221.00,Puna,19.54,-155.00
867745.00,Lahaina,20.93,-156.69
633307.00,Puna,19.35,-154.99
633314.00,Primary Urban Center,21.28,-157.83
869077.00,Paia-Haiku,20.90,-156.31
638917.00,North Kona,19.60,-155.96
84405.00,Lahaina,21.00,-156.67
869156.00,Puna,19.43,-155.23
85701.00,Lahaina,20.95,-156.69
869790.00,Koolaupoko,21.38,-157.72
873586.00,South Kohala,19.93,-155.80
873736.00,Primary Urban Center,21.28,-157.83
639265.00,North Kona,19.60,-155.96
640575.00,Kau,19.06,-155.61
640576.00,Kau,19.06,-155.61
640577.00,Kau,19.06,-155.61
87596.00,South Hilo,19.81,-155.10
640765.00,North Kona,19.69,-155.98
873804.00,North Kona,19.57,-155.97
875693.00,Koolaupoko,21.38,-157.71
87671.00,North Shore Oahu,21.65,-158.06
877602.00,South Kona,19.45,-155.87
640854.00,North Kona,19.60,-155.95
102918.00,Lahaina,20.94,-156.69
647521.00,North Kona,19.65,-155.98
648073.00,North Kona,19.68,-155.97
880504.00,Lahaina,20.95,-156.69
104447.00,Primary Urban Center,21.29,-157.84
104452.00,Primary Urban Center,21.28,-157.82
883446.00,South Hilo,19.71,-155.09
648353.00,Paia-Haiku,20.87,-156.31
112698.00,Puna,19.41,-154.92
648355.00,Makawao-Pukalani-Kula,20.77,-156.32
883700.00,North Kona,19.71,-155.96
884001.00,Kapaa-Wailua,22.06,-159.33
118560.00,South Kona,19.50,-155.92
652716.00,Paia-Haiku,20.87,-156.31
659331.00,Puna,19.51,-154.90
888191.00,Kihei-Makena,20.70,-156.44
125968.00,South Kohala,20.03,-155.68
660578.00,South Kona,19.36,-155.87
138781.00,Primary Urban Center,21.30,-157.84
660579.00,South Kona,19.36,-155.87
890857.00,Primary Urban Center,21.28,-157.84
152046.00,Primary Urban Center,21.27,-157.82
892718.00,Paia-Haiku,20.93,-156.32
663737.00,Kihei-Makena,20.76,-156.46
152645.00,North Shore Kauai,22.22,-159.48
663763.00,Kihei-Makena,20.76,-156.46
663786.00,Kihei-Makena,20.76,-156.46
896664.00,North Kona,19.60,-155.97
153304.00,North Shore Kauai,22.22,-159.48
904008.00,Paia-Haiku,20.91,-156.38
904468.00,South Kohala,19.92,-155.89
667728.00,Koloa-Poipu,21.88,-159.45
669834.00,Primary Urban Center,21.29,-157.83
153397.00,North Shore Kauai,22.22,-159.48
671346.00,Koolauloa,21.64,-157.92
905460.00,Paia-Haiku,20.91,-156.38
155360.00,Paia-Haiku,20.92,-156.38
908283.00,North Kona,19.71,-155.96
673187.00,Ewa,21.35,-158.08
673201.00,Ewa,21.35,-158.09
1022200.00,North Kona,19.57,-155.96
673202.00,Puna,19.48,-154.94
673327.00,Koolauloa,21.64,-157.92
674312.00,Kihei-Makena,20.71,-156.44
917413.00,North Shore Kauai,22.19,-159.33
1027418.00,Kapaa-Wailua,22.06,-159.33
918451.00,North Shore Kauai,22.20,-159.50
674514.00,Kihei-Makena,20.71,-156.44
675016.00,South Hilo,19.72,-155.09
1030150.00,South Hilo,19.69,-155.07
675034.00,Kihei-Makena,20.71,-156.44
918649.00,North Kona,19.67,-155.98
1030151.00,South Hilo,19.69,-155.07
923297.00,Paia-Haiku,20.91,-156.38
677268.00,Puna,19.56,-154.96
1030161.00,South Hilo,19.69,-155.07
707552.00,Puna,19.43,-155.23
923523.00,Kau,19.06,-155.59
927959.00,Puna,19.39,-154.93
1033146.00,North Shore Kauai,22.20,-159.51
928064.00,Paia-Haiku,20.91,-156.38
707984.00,Kihei-Makena,20.70,-156.43
1036404.00,North Kona,19.60,-155.95
710488.00,North Kona,19.69,-155.98
1038689.00,Primary Urban Center,21.28,-157.83
713986.00,Kihei-Makena,20.72,-156.45
929435.00,South Hilo,19.73,-155.01
1042446.00,Kihei-Makena,20.79,-156.47
933682.00,Puna,19.46,-154.93
936355.00,Kihei-Makena,20.73,-156.45
936558.00,Puna,19.39,-154.93
715447.00,Puna,19.60,-154.96
716964.00,Primary Urban Center,21.27,-157.82
1046693.00,South Kona,19.31,-155.86
717081.00,Lihue,22.05,-159.37
722158.00,Primary Urban Center,21.28,-157.82
729224.00,South Kohala,19.94,-155.86
937990.00,Puna,19.46,-154.85
940185.00,Puna,19.60,-154.94
941361.00,North Kona,19.61,-155.96
1046703.00,Puna,19.39,-154.93
942157.00,Puna,19.46,-154.85
942895.00,North Kona,19.59,-155.97
729902.00,North Hilo,19.97,-155.22
1051136.00,Kihei-Makena,20.77,-156.46
731420.00,Kihei-Makena,20.76,-156.46
748756.00,Paia-Haiku,20.91,-156.22
944736.00,Kihei-Makena,20.69,-156.44
951725.00,Paia-Haiku,20.91,-156.22
951837.00,Paia-Haiku,20.91,-156.22
1051428.00,Lahaina,20.96,-156.68
951880.00,Paia-Haiku,20.91,-156.22
953390.00,Koolaupoko,21.39,-157.72
960536.00,Ewa,21.35,-158.08
749883.00,Paia-Haiku,20.91,-156.22
749884.00,Paia-Haiku,20.91,-156.22
751118.00,North Shore Kauai,22.22,-159.48
755553.00,Puna,19.50,-154.91
760735.00,Puna,19.44,-155.18
964857.00,North Kohala,20.21,-155.85
966400.00,Koolauloa,21.64,-157.92
769848.00,Ewa,21.34,-158.12
1053978.00,North Kona,19.59,-155.97
775128.00,Kapaa-Wailua,22.05,-159.37
780183.00,Kihei-Makena,20.69,-156.43
784020.00,Lahaina,21.00,-156.67
975668.00,Kau,19.06,-155.59
1057070.00,North Kona,19.70,-155.97
978111.00,Koolaupoko,21.40,-157.77
983895.00,Wailuku-Kahului,20.91,-156.43
984845.00,North Kona,19.59,-155.97
989311.00,Kihei-Makena,20.79,-156.51
790040.00,Puna,19.56,-154.90
798414.00,Hana,20.76,-155.99
801736.00,North Kona,19.65,-155.95
990804.00,Paia-Haiku,20.87,-156.31
1062698.00,North Shore Oahu,21.55,-158.11
1001265.00,Primary Urban Center,21.29,-157.84
804274.00,Primary Urban Center,21.27,-157.82
1066271.00,South Kohala,20.02,-155.81
804355.00,Lahaina,20.92,-156.69
1012360.00,Koolaupoko,21.41,-157.78
1067305.00,Puna,19.41,-154.93
1014157.00,Waianae,21.46,-158.20
1268195.00,Koolaupoko,21.40,-157.74
1069316.00,Makawao-Pukalani-Kula,20.85,-156.31
1271749.00,Koolauloa,21.62,-157.92
1018935.00,North Kona,19.57,-155.97
1069333.00,Primary Urban Center,21.27,-157.81
1069531.00,North Shore Kauai,22.23,-159.48
1019051.00,Paia-Haiku,20.92,-156.38
1019465.00,South Hilo,19.68,-155.09
1021219.00,Primary Urban Center,21.28,-157.83
1285083.00,South Hilo,19.73,-155.02
1291481.00,Koolauloa,21.60,-157.90
1294662.00,South Hilo,19.71,-155.07
1074549.00,Kihei-Makena,20.80,-156.51
1296881.00,Koloa-Poipu,21.88,-159.47
1022193.00,South Kona,19.43,-155.89
1074685.00,Kihei-Makena,20.79,-156.47
1079645.00,Kihei-Makena,20.76,-156.46
1584049.00,South Kona,19.50,-155.92
1301638.00,Puna,19.52,-154.85
1084023.00,Primary Urban Center,21.28,-157.83
1303637.00,Primary Urban Center,21.28,-157.84
1309377.00,Puna,19.44,-154.92
1589144.00,South Hilo,19.83,-155.11
1089389.00,North Shore Kauai,22.22,-159.41
1589224.00,Puna,19.60,-154.94
1309451.00,Kihei-Makena,20.76,-156.46
1089964.00,Primary Urban Center,21.28,-157.83
1310350.00,South Hilo,19.72,-155.08
1589238.00,Waimea-Kekaha,21.96,-159.70
1593094.00,Lahaina,20.93,-156.69
1593862.00,Kihei-Makena,20.73,-156.45
1093218.00,Wailuku-Kahului,20.91,-156.40
1594667.00,North Shore Oahu,21.65,-158.06
1317442.00,Lahaina,20.93,-156.69
1320963.00,Kihei-Makena,20.76,-156.46
1094601.00,Kihei-Makena,20.71,-156.45
1597409.00,Kihei-Makena,20.73,-156.45
1094823.00,Kihei-Makena,20.76,-156.46
1600553.00,Lahaina,20.95,-156.69
1332309.00,South Kona,19.50,-155.92
1336834.00,Puna,19.44,-154.92
1095174.00,South Kona,19.21,-155.90
1339775.00,Kapaa-Wailua,22.06,-159.32
1606631.00,North Shore Kauai,22.23,-159.48
1609926.00,Puna,19.54,-154.90
1613843.00,Paia-Haiku,20.91,-156.37
1095181.00,North Kona,19.59,-155.97
1614256.00,North Kona,19.70,-155.97
1339958.00,Kapaa-Wailua,22.06,-159.32
1103829.00,Puna,19.41,-154.93
1339976.00,Kapaa-Wailua,22.06,-159.32
1614421.00,Kihei-Makena,20.73,-156.45
1104128.00,Ewa,21.33,-158.12
1107031.00,South Kohala,20.03,-155.70
1615734.00,North Kona,19.57,-155.96
1632917.00,Koolaupoko,21.38,-157.71
1633034.00,South Kona,19.44,-155.89
1340313.00,Puna,19.61,-155.03
1340799.00,North Kona,19.72,-155.98
1113321.00,Puna,19.59,-154.99
1346576.00,Primary Urban Center,21.29,-157.85
1349377.00,South Hilo,19.71,-155.07
1349515.00,South Hilo,19.71,-155.07
1633101.00,South Kona,19.44,-155.89
1633878.00,North Kona,19.57,-155.97
1114833.00,Puna,19.51,-155.11
1633906.00,Kihei-Makena,20.73,-156.45
1637688.00,North Shore Oahu,21.68,-158.04
1639966.00,South Kohala,19.92,-155.89
1349619.00,South Hilo,19.71,-155.07
1350037.00,Lahaina,20.96,-156.68
1364383.00,East Honolulu,21.29,-157.74
1121863.00,Lahaina,20.87,-156.67
1365363.00,Kapaa-Wailua,22.06,-159.32
1641833.00,Koolauloa,21.70,-157.99
1646411.00,Primary Urban Center,21.28,-157.83
1650354.00,Paia-Haiku,20.92,-156.32
1127254.00,Lahaina,20.97,-156.68
1656017.00,Paia-Haiku,20.91,-156.38
1656201.00,Koolaupoko,21.41,-157.74
1656273.00,Paia-Haiku,20.91,-156.38
1365410.00,Kapaa-Wailua,22.06,-159.32
1365551.00,Kapaa-Wailua,22.06,-159.32
1365599.00,Kapaa-Wailua,22.06,-159.32
1127894.00,Puna,19.40,-154.93
1365647.00,Kapaa-Wailua,22.06,-159.32
1667744.00,North Shore Kauai,22.20,-159.50
1129061.00,Primary Urban Center,21.29,-157.84
1673301.00,Lahaina,20.87,-156.67
1678564.00,Koolaupoko,21.41,-157.74
1371163.00,Kapaa-Wailua,22.06,-159.32
1132160.00,North Shore Kauai,22.22,-159.49
1371205.00,Kapaa-Wailua,22.06,-159.32
1371229.00,Kapaa-Wailua,22.06,-159.32
1371261.00,Kapaa-Wailua,22.06,-159.32
1688964.00,Koloa-Poipu,21.88,-159.48
1697116.00,Kau,19.04,-155.64
1700115.00,Kihei-Makena,20.72,-156.44
1143870.00,Puna,19.48,-155.26
1371646.00,Kapaa-Wailua,22.06,-159.32
1371681.00,Kapaa-Wailua,22.06,-159.32
1145103.00,Kihei-Makena,20.76,-156.46
1371734.00,Kapaa-Wailua,22.06,-159.32
1704566.00,Kihei-Makena,20.80,-156.50
1713527.00,North Kona,19.71,-155.99
1145716.00,Kihei-Makena,20.76,-156.46
1713758.00,South Hilo,19.79,-155.10
1371831.00,Kapaa-Wailua,22.06,-159.32
1148346.00,Kihei-Makena,20.77,-156.46
1374162.00,Kihei-Makena,20.75,-156.46
1378127.00,Kapaa-Wailua,22.05,-159.33
1381735.00,North Shore Kauai,22.22,-159.47
1720444.00,Koolauloa,21.70,-157.99
1725643.00,North Shore Oahu,21.59,-158.10
1154385.00,Primary Urban Center,21.28,-157.83
1726142.00,Primary Urban Center,21.30,-157.84
1728525.00,Kihei-Makena,20.70,-156.44
1733842.00,Koolaupoko,21.40,-157.75
1382579.00,Kihei-Makena,20.70,-156.43
1155991.00,Lahaina,20.88,-156.67
1394005.00,Kihei-Makena,20.71,-156.44
1736110.00,Puna,19.45,-155.13
1746864.00,Kihei-Makena,20.70,-156.43
1750621.00,North Shore Oahu,21.58,-158.14
1398125.00,Puna,19.39,-154.93
1159617.00,Kihei-Makena,20.70,-156.44
1404169.00,North Kona,19.62,-155.99
1412186.00,Kihei-Makena,20.69,-156.43
1421014.00,Lahaina,20.95,-156.69
1422734.00,Lahaina,20.97,-156.68
1427711.00,Paia-Haiku,20.92,-156.37
1751758.00,South Hilo,19.73,-155.01
1752128.00,Paia-Haiku,20.91,-156.37
1756052.00,Koloa-Poipu,21.87,-159.44
1159810.00,North Kona,19.61,-155.97
1759620.00,Koloa-Poipu,21.87,-159.45
1764389.00,South Hilo,19.80,-155.10
1767400.00,Lanai,20.82,-156.91
1431835.00,Hamakua,20.12,-155.58
1436904.00,Primary Urban Center,21.29,-157.85
1454542.00,South Kohala,20.01,-155.81
1460200.00,South Kohala,20.03,-155.72
1466642.00,South Kona,19.43,-155.88
1471748.00,Lahaina,20.97,-156.68
1471990.00,Lahaina,20.97,-156.68
1477852.00,Kihei-Makena,20.71,-156.44
1479829.00,Primary Urban Center,21.31,-157.86
1479943.00,Kihei-Makena,20.73,-156.45
1483081.00,Koloa-Poipu,21.88,-159.45
1488260.00,Hamakua,20.12,-155.58
1489040.00,Hamakua,20.12,-155.58
1495760.00,Kihei-Makena,20.70,-156.44
1502448.00,Kihei-Makena,20.76,-156.46
1507579.00,North Shore Kauai,22.23,-159.48
1509352.00,South Kona,19.50,-155.92
1511025.00,North Kona,19.62,-155.98
1521554.00,Primary Urban Center,21.29,-157.83
1530897.00,Kihei-Makena,20.76,-156.46
1578534.00,North Shore Oahu,21.65,-158.05
1578652.00,South Kona,19.43,-155.89
1163863.00,South Kohala,20.03,-155.70
1578736.00,South Kona,19.50,-155.92
1771935.00,Kihei-Makena,20.73,-156.45
1170189.00,Kapaa-Wailua,22.06,-159.39
1174976.00,Kihei-Makena,20.73,-156.45
1580775.00,Kihei-Makena,20.76,-156.46
1175508.00,North Kona,19.71,-155.96
1581386.00,Primary Urban Center,21.29,-157.84
1180632.00,Puna,19.43,-155.22
1182591.00,Kihei-Makena,20.71,-156.44
1583137.00,Koolaupoko,21.39,-157.73
1583407.00,Kihei-Makena,20.76,-156.46
1182612.00,North Kona,19.64,-155.99
1919610.00,Koolauloa,21.63,-157.92
1185854.00,North Kohala,20.24,-155.86
1920293.00,Kihei-Makena,20.72,-156.45
1188024.00,Koolauloa,21.70,-157.99
1928093.00,Kihei-Makena,20.76,-156.46
1194685.00,Kihei-Makena,20.76,-156.46
1929001.00,North Kona,19.68,-155.97
1930720.00,Hana,20.66,-156.05
1197879.00,Koolauloa,21.70,-158.00
1931754.00,Hana,20.68,-156.03
1206189.00,South Kohala,19.93,-155.80
1936548.00,North Shore Oahu,21.64,-158.06
1206363.00,Puna,19.48,-155.10
1941392.00,North Kona,19.68,-155.97
1943232.00,Kapaa-Wailua,22.05,-159.33
1783189.00,Primary Urban Center,21.27,-157.82
1783243.00,Puna,19.43,-155.21
1793744.00,Lahaina,20.99,-156.67
1796816.00,Paia-Haiku,20.87,-156.31
1798328.00,Primary Urban Center,21.28,-157.83
1948020.00,Koolauloa,21.61,-157.91
1949034.00,Kihei-Makena,20.69,-156.44
1214155.00,North Kona,19.62,-155.98
1959997.00,Lihue,21.97,-159.36
1960593.00,Lihue,21.97,-159.37
1802856.00,Primary Urban Center,21.28,-157.84
1219697.00,Kihei-Makena,20.72,-156.45
1229095.00,Primary Urban Center,21.29,-157.84
1232648.00,Paia-Haiku,20.93,-156.32
1808149.00,Kihei-Makena,20.70,-156.43
1815036.00,Waianae,21.48,-158.22
1815550.00,Puna,19.62,-154.95
1966611.00,Hamakua,20.06,-155.51
1969032.00,Kihei-Makena,20.72,-156.45
1972409.00,North Shore Kauai,22.21,-159.50
1232732.00,Paia-Haiku,20.93,-156.32
1987551.00,Primary Urban Center,21.28,-157.83
1989722.00,Lihue,22.01,-159.34
1995127.00,North Kohala,20.25,-155.84
1822418.00,Hamakua,20.09,-155.50
1232877.00,Paia-Haiku,20.93,-156.32
1826381.00,North Shore Kauai,22.23,-159.49
2008304.00,South Hilo,19.89,-155.12
1233027.00,Paia-Haiku,20.93,-156.32
2012496.00,South Hilo,19.89,-155.12
1832753.00,Koolauloa,21.65,-157.93
1836706.00,North Shore Oahu,21.64,-158.04
2012600.00,North Kona,19.63,-155.95
1233067.00,Paia-Haiku,20.93,-156.32
2014800.00,Koolauloa,21.70,-157.99
1837728.00,North Shore Oahu,21.68,-158.04
1233353.00,North Kohala,20.24,-155.89
1843839.00,East Honolulu,21.29,-157.73
2023726.00,South Kona,19.45,-155.88
1233787.00,Paia-Haiku,20.93,-156.32
2027944.00,South Kohala,19.94,-155.86
1844208.00,North Kohala,20.23,-155.80
2034744.00,Wailuku-Kahului,20.91,-156.41
1244222.00,South Hilo,19.89,-155.13
2036032.00,North Kona,19.62,-155.99
1851488.00,Lahaina,21.00,-156.66
1256665.00,South Kona,19.32,-155.88
1859789.00,Koolaupoko,21.39,-157.73
1861034.00,Puna,19.46,-154.91
1873529.00,Primary Urban Center,21.29,-157.79
2038133.00,Molokai,21.19,-157.25
2038271.00,Lahaina,20.97,-156.68
2038309.00,North Shore Oahu,21.58,-158.12
1258741.00,Lahaina,20.87,-156.67
2042570.00,Koloa-Poipu,21.87,-159.44
2045218.00,North Kona,19.57,-155.96
1882019.00,East Honolulu,21.29,-157.71
1263406.00,South Kona,19.30,-155.87
1892267.00,North Shore Kauai,22.22,-159.47
